Country Name,"Birth rate (per 1,000)","Death, by communicable diseases and others (%)","Death, by non-communicable diseases (%)","Health expenditure per capita, PPP ($)","Death rate (per 1,000)","Hospital beds (per 1,000)","International tourism, number of arrivals",Life expectancy at birth (years),"Mortality rate, adult, female (per 1,000)","Mortality rate, adult, male (per 1,000)","Nurses and midwives (per 1,000)",People using at least basic sanitation services (%),Population ages 65+ (%),Population density (people per sq.km),Population,Smoking prevalence (ages 15+)
Hungary,9.7,1.8,93.8,1963.16263,13.5,7.0,17552000.0,76.0634146341464,80.586,168.058,6.6425,97.9908733908907,19.1577253832321,107.906605545123,9768785.0,30.6
Colombia,15.097999999999999,10.1,74.8,829.80292211,5.502999999999999,1.5,3904000.0,76.925,87.205,187.40599999999998,1.2627,89.6253577567162,8.47804701986958,44.7487021180712,49648685.0,9.0
Germany,9.5,4.8,91.2,5463.33065234,11.3,8.3,38881000.0,80.990243902439,50.173,92.46,13.1967,99.22503756498129,21.4619619953309,237.3709697733,82927922.0,30.6
Slovenia,9.8,5.0,88.4,2772.22977561,9.9,4.6,4425000.0,81.1756097560976,43.961000000000006,94.604,9.68,99.1095679283407,19.6068796541788,102.639859503382,2067372.0,22.5
Rwanda,32.062,42.4,44.0,130.38062899,5.308,0.6611326178416276,932000.0,68.34100000000001,164.75599999999997,219.354,0.8307,66.5738423996839,2.9381960775388,498.659870287799,12301939.0,12.3
Gambia,38.967,54.8,34.3,74.31114618,8.044,1.1,552000.0,61.44,228.393,283.962,1.6292,39.2311499837464,2.5899809393823197,225.30652173912998,2280102.0,15.5
Niger,46.54,62.7,27.0,61.43025084,8.529,0.3,157000.0,61.599,226.833,255.179,0.3109,13.566659687881698,2.5950078826985297,17.717650588142398,22442948.0,7.7
Congo (Kinshasa),41.732,61.7,28.0,34.48820942,9.691,1.4833820737602716,351000.0,60.026,227.393,276.222,0.47,20.4559768639167,3.0178406215980296,37.0825923557045,84068091.0,16.23094074107128
Grenada,16.701,11.9,81.3,745.1027805,9.562999999999999,3.7,185000.0,72.388,95.288,182.25,3.1447,91.49389213371971,9.62190679562869,327.805882352941,111454.0,17.90416819761343
Jordan,22.622,10.7,78.4,494.75364627,3.843,1.4,4150000.0,74.292,90.196,125.23,3.3886,97.3397541392762,3.8464903979983402,112.14249831043001,9956011.0,25.377932661696388
Spain,8.4,5.1,91.4,3259.8027752,9.0,3.0,82773000.0,83.32926829268291,37.537,74.53699999999999,5.5307,99.9042308892552,19.3785075224995,93.5290582615872,46723749.0,29.3
Sudan,32.542,35.2,52.2,297.85590815,7.261,0.8,836000.0,64.881,189.477,247.00799999999998,0.83,36.5750324901267,3.58116052825144,116.85544767924323,41801533.0,12.574613387990418
Iraq,29.693,16.8,54.7,493.71787059,4.8260000000000005,1.4,892000.0,70.294,125.666,193.18400000000003,1.6799,94.1210224523593,3.3235996627950497,88.53057003546171,38433600.0,12.747380030583574
Kosovo,16.4,40.353726252768475,52.633548575268705,699.8228454474518,7.0,4.978491111170607,1557508.966765763,71.9463414634146,176.77119790333154,246.57580978806524,2.9843195913116243,48.67425718782728,8.502875918710767,168.154679893451,1845300.0,29.266595357365006
Bangladesh,18.500999999999998,25.6,66.9,90.59840433,5.5329999999999995,0.8,1026000.0,72.05199999999999,103.84,145.697,0.3067,48.233242717701906,5.15839063962068,1239.5793116693599,161356039.0,23.0
Azerbaijan,14.6,8.8,86.6,1193.05883013,5.8,4.7,2633000.0,72.693,89.884,150.322,6.9621,92.51144534712591,6.195182750714929,120.265319946776,9942334.0,20.8
Belarus,10.8,2.5,90.5,1151.40884919,12.6,11.0,11501600.0,74.12926829268291,82.559,234.903,11.4383,97.7909519750284,14.8451481743098,46.7287999040892,9485386.0,26.7
Liechtenstein,8.9,15.84274545029969,77.13377092176698,3165.453297042166,6.6,3.631073881352685,85300.0,82.2585365853659,118.60525444105839,183.88803379880707,7.761002267698807,99.95,8.267451076681393,236.9375,37910.0,17.537422781437495
Bolivia,22.076,22.4,64.5,496.30618855,6.795,1.1,1142000.0,70.945,146.06799999999998,211.993,0.7357,60.7169375713243,7.19194739218447,10.4801458506416,11353142.0,10.561128674123626
Cyprus,10.668,4.1,91.1,2270.83174445,6.952000000000001,3.4,3939000.0,80.672,33.388000000000005,65.933,5.2517,99.1523114561557,13.719061773448301,128.708333333333,1189265.0,36.4
Senegal,35.12,45.7,42.1,141.69486147,5.845,1.2723527191044932,1365000.0,67.38,147.372,218.71900000000002,0.3129,51.473989521037396,3.08682370101833,82.3474783150678,15854360.0,8.2
Mauritania,34.132,53.4,37.2,163.91744893,7.3389999999999995,2.347462562401982,4773515.987779997,64.464,177.804,223.47299999999998,1.0341,48.4354897706697,3.14111215805009,4.27216357815077,4403319.0,17.31557070940627
Guinea-Bissau,35.696999999999996,62.1,30.0,97.97199975,9.805,4.020559984554021,45200.0,57.673,237.36599999999999,287.8,1.4,20.538003002039602,2.8237163361526902,66.6539473684211,1874309.0,16.252327073716163
Lebanon,17.67,3.6,90.6,1147.37477362,4.263,2.9,1964000.0,78.833,48.58,67.158,2.6448,98.4766391682531,7.002368134392941,669.4941348973609,6848925.0,33.8
Bahamas,14.049000000000001,16.9,73.9,1435.56751295,6.72,2.9,1633000.0,73.554,116.318,194.61700000000002,3.1386,94.9305823307593,7.25760235662035,38.5254745254745,385640.0,11.5
Dominican Republic,19.799,15.8,72.3,936.82158997,6.12,1.6,6569000.0,73.689,116.772,200.872,0.3099,83.8932063216788,7.08281747649721,219.97857586421,10627165.0,13.7
Belgium,10.5,7.9,85.7,4667.88228695,9.6,6.2,9119000.0,81.4390243902439,53.933,89.305,11.1011,99.486060200783,18.7887437383395,377.21492734478204,11422068.0,28.2
Saudi Arabia,18.319000000000003,10.6,73.2,3117.23352667,3.446,2.7,15334000.0,74.874,76.08,95.287,5.7,100.0,3.31408802294981,15.6766543082956,33699947.0,15.6
Tanzania,37.075,55.8,32.9,111.97884273,6.622000000000001,0.7,1378000.0,64.479,186.43599999999998,229.697,0.4126,29.9134390163845,2.60129917835952,63.579078798825904,56318348.0,14.8
Guinea,36.765,55.7,35.1,107.72365549,8.715,0.3,99000.0,60.706,236.611,263.625,0.3844,22.7192698908919,2.9260224484793502,50.5222122741332,12414318.0,9.985654439071803
Peru,18.134,20.3,69.2,680.9994927,5.438,1.6,4419000.0,76.286,91.986,149.878,1.35,74.3429565941762,8.08839279183076,24.99160625,31989256.0,4.8
Kenya,29.296,63.3,27.1,143.54423755,5.582000000000001,1.4,1364000.0,65.90899999999999,174.37599999999998,252.222,1.5421,29.051115063143897,2.33918661191556,90.29941666373828,51393010.0,10.7
Ireland,12.9,5.1,90.6,5299.65396729,6.3,2.8,10926000.0,81.95609756097559,47.106,80.92,14.2949,91.24518131134208,13.8658017012923,70.452983016403,4853506.0,24.3
Cameroon,35.9,53.9,35.2,169.28882146,9.501,1.3,1081000.0,58.511,317.369,340.93,0.9337,39.075550156475,2.7288773552405696,53.3439889149796,25216237.0,12.638389400842001
Namibia,29.105,49.3,40.9,969.25813468,8.23,3.5194534903455983,1499000.0,63.021,241.97099999999998,337.589,2.775,34.503736926834,3.6360316807451403,2.9737455817512704,2448255.0,21.4
Chile,12.710999999999999,8.1,84.7,2002.00838398,6.0760000000000005,2.2,5723000.0,79.90899999999999,65.373,106.09200000000001,0.86,100.00000135222601,11.529801656881599,25.189446066651897,18729160.0,37.8
Thailand,10.513,15.8,74.0,635.02179596,7.559,2.1,38178000.0,76.683,91.148,199.34799999999998,2.9647,98.7507346105258,11.9008931395893,135.897206835131,69428524.0,19.9
Monaco,7.8,11.683691384081385,81.31511909875775,3019.1346449000002,7.9,13.8,347000.0,75.89227062816738,102.84064652712415,178.62990902501335,20.2625,100.0,8.678223418034072,19196.0,38682.0,19.10855563342471
Japan,7.6,12.7,82.4,4592.42820832,10.8,13.4,31192000.0,84.099756097561,36.943000000000005,68.46600000000001,11.5184,99.8947075676591,27.576369910355,347.07345841562403,126529100.0,22.1
Brazil,14.125,13.9,73.9,1777.47047654,6.377999999999999,2.2,6621000.0,75.456,92.31299999999999,188.59599999999998,9.7083,88.29384940555971,8.92283783244003,25.061716243087602,209469333.0,13.9
Saint Kitts and Nevis,12.6,15.264768503511709,77.75615190423608,1479.57085378,8.1,2.3,125000.0,79.27437630142308,115.58971908113934,182.78580688306755,3.9779,91.60912585034,8.404537624133619,201.69615384615398,52441.0,17.654767459309582
Kuwait,14.651,14.8,72.4,2899.26023773,2.6010000000000004,2.0,8508000.0,75.311,41.761,69.852,6.9694,100.0,2.55047238400198,232.172222222222,4137309.0,22.5
Nigeria,38.384,62.7,29.0,213.7372371,12.114,1.995814883045934,5265000.0,53.95,328.407,367.525,1.4524,39.1717540974593,2.7473770053274302,215.06498896538102,195874740.0,5.8
Indonesia,18.422,20.7,73.3,362.72194133,6.433,1.2,15810000.0,71.282,141.20600000000002,202.511,2.0583,73.1283873746602,5.857165612728631,147.75219008926,267663435.0,39.4
Zambia,36.699,60.6,29.2,175.17835208,6.632999999999999,2.0,1072000.0,63.043,236.93099999999998,341.80400000000003,0.8925,26.370118490977003,2.09967802593266,23.341478900711603,17351822.0,13.8
Finland,9.1,1.3,93.2,4112.05423386,9.8,4.4,3224000.0,81.4292682926829,43.26,93.675,14.722999999999999,99.44784411997108,21.7207875455222,18.1568556480537,5518050.0,20.4
Angola,41.281000000000006,63.4,27.4,185.82040062,8.432,0.7803260502150324,218000.0,60.379,199.981,273.435,2.4729147162406204,49.8769787577501,2.21637364776329,24.713052057431604,30809762.0,9.128026199398095
Paraguay,20.787,13.7,74.4,767.76711559,5.465,1.3,1181000.0,73.992,123.76100000000001,163.809,1.1669,89.78369143113791,6.4302150094608095,17.5083589227284,6956071.0,13.4
El Salvador,18.429000000000002,10.8,73.8,599.54871678,7.011,1.3,1677300.0,72.872,99.74,254.03099999999998,2.278,87.43356666807692,8.28709000480629,309.88146718146703,6420744.0,9.9
Bahrain,14.365,6.9,83.0,1866.29732036,2.3680000000000003,2.0,12045000.0,77.032,57.20399999999999,72.491,2.4944,100.0,2.42633387832394,2017.27369979138,1569439.0,26.4
Sierra Leone,33.939,57.9,33.2,244.04345109,12.003,1.9977316352914714,57000.0,53.895,383.435,395.94199999999995,0.9962,15.652661575664801,2.96655621131612,105.987170961485,7650154.0,24.8
Burkina Faso,38.419000000000004,56.3,32.7,115.60433137,8.341000000000001,0.4,144000.0,60.768,232.74200000000002,264.673,0.5696,19.4020870942332,2.4069808286635497,72.1912828947368,19751535.0,12.5
Ethiopia,32.775,49.0,39.3,69.52478888,6.691,0.3,849000.0,65.872,188.54,240.415,0.84,7.31633289543501,3.5011329976098597,109.22455900000001,109224559.0,4.4
Albania,11.934000000000001,2.9,93.1,759.66698419,7.7139999999999995,2.9,5340000.0,78.333,49.88399999999999,94.45,3.5998,97.7183683821447,13.7447359109736,104.61226277372299,2866376.0,28.7
Nepal,20.195999999999998,25.0,66.2,155.96958828,6.404,0.3,1173000.0,70.169,125.146,166.703,2.6854,62.0535954492586,5.72767077569198,195.939107080572,28087871.0,22.8
India,18.083,26.0,62.7,241.48305525,7.21,0.7,17423000.0,69.165,136.204,209.923,2.1071,59.5434482675674,6.1799556494714905,454.93807257524696,1352617328.0,11.5
Venezuela,18.232,11.3,69.5,939.99701085,6.814,0.8,427000.0,72.24600000000001,88.069,188.942,1.4862650930378112,93.9350190169228,7.266986620125969,32.7307919052208,28870195.0,11.998241959316783
Russia,12.9,4.8,87.4,1329.29241995,12.9,8.2,24551000.0,72.11902439024391,120.336,321.526,8.6212,90.48222462319029,14.6747083203719,8.82207955488442,144478050.0,39.3
Cambodia,22.889,25.6,64.4,228.57086774,6.017,0.8,6201000.0,69.289,134.547,202.166,0.9547,59.22696597977549,4.56868001756576,92.05641287106279,16249798.0,17.2
Latvia,10.7,2.7,91.8,1589.69204471,14.8,5.8,1946000.0,74.6804878048781,85.367,228.584,4.8155,92.1482658643503,20.0436203206809,30.9833065294307,1926542.0,37.0
US,11.8,5.2,88.3,9869.74238174,8.5,2.9,79745920.0,78.5390243902439,81.934,138.25,8.55,99.9700187653163,15.8076540556035,35.766088580168,327167434.0,21.8
Philippines,21.035999999999998,25.2,67.3,342.28682198,5.8389999999999995,1.0,7168000.0,70.952,133.878,259.084,0.24,76.5335020674233,5.12256876829946,357.688305329175,106651922.0,24.3
Italy,7.6,4.9,91.4,3427.30646617,10.7,3.4,61567200.0,83.24390243902441,37.246,65.423,5.8693,98.7724326744163,22.7516796025077,205.45074794315602,60431283.0,23.7
Mauritius,10.7,6.5,88.7,1206.73977865,8.0,3.4,1399000.0,74.51463414634149,94.432,190.247,3.3831,95.5048377122011,11.474173068652199,623.30197044335,1265303.0,21.6
Singapore,8.9,22.7,73.6,4083.75168085,5.0,2.4,14673000.0,82.89512195121951,35.431,60.766000000000005,7.2141,100.0,11.4633801933791,7952.9984184018,5638676.0,16.5
Somalia,41.919,64.2,23.9,211.79593421771168,11.062000000000001,0.9,2004068.6741104405,56.708999999999996,272.305,327.57,0.0611,38.336380263640706,2.8733109429455603,23.923476902477102,15008154.0,14.201992546489096
Seychelles,17.2,11.9,80.8,1122.56375395,7.8,3.6,362000.0,74.3,98.39200000000001,202.774,3.2613,100.0,7.5945456043503405,210.35217391304298,96762.0,21.5
Eritrea,30.898000000000003,42.9,45.2,55.33103421,7.3260000000000005,0.7,142000.0,65.538,206.699,280.532,4.055709941556497,11.939966186728,4.08385636215873,31.8215049504951,3213972.0,5.7
Burma,17.703,23.6,67.8,291.08854671,8.206,0.9,3551000.0,66.558,161.556,223.856,0.9794,64.332684035717,5.7846419325720895,82.23861548355491,53708395.0,20.3
Cabo Verde,19.919,19.5,70.3,347.64124992,5.682,2.1,710000.0,72.57,98.03,143.523,1.2272,73.85378675991191,4.60932715666821,134.92977667493798,543767.0,9.1
Israel,21.1,10.0,85.8,2843.0440065000003,5.1,3.1,4121000.0,82.60243902439029,39.638000000000005,70.873,5.2044,100.000001466914,11.9769860249625,410.526802218115,8883800.0,25.2
China,12.43,3.8,89.3,761.48785586,7.11,4.2,62900000.0,76.47,61.091,95.115,2.3073,84.76078771054509,10.9208835350654,148.348833270666,1392730000.0,25.6
Ecuador,19.968,15.1,72.2,942.8866596,5.101,1.5,2535000.0,76.584,83.55,156.91899999999998,1.2,87.9887160353163,7.15728972666108,68.7886817522951,17084357.0,7.1
Libya,19.38,8.0,71.9,627.28245574,5.099,3.7,1584896.1874825195,72.52,94.98299999999999,169.882,6.7416,100.0,4.39204025898401,3.7956323811905404,6678567.0,26.627455660163097
Portugal,8.4,10.2,85.6,2778.4155866,10.6,3.4,16186000.0,81.1243902439025,42.442,103.994,6.3725,99.6089231422543,21.9538575375873,112.23945350806999,10281762.0,22.7
Croatia,8.9,2.3,92.4,1705.20761848,13.0,5.6,16645000.0,77.8268292682927,50.512,119.40700000000001,8.1134,96.53844584148528,20.445433012423,73.0771979985704,4089400.0,37.0
Ukraine,9.4,4.1,91.0,534.19106414,14.5,8.8,14104000.0,71.7809756097561,111.279,292.069,7.0576,96.2243559906192,16.434686439201602,77.02966735141291,44622516.0,28.9
Argentina,17.205,15.9,77.6,1531.0383612,7.6160000000000005,5.0,6942000.0,76.372,80.283,148.705,2.58,94.25850541768209,11.1177888760774,16.2585100979651,44494502.0,21.8
Afghanistan,33.211,36.4,44.1,162.78115818,6.575,0.5,12082223.401648728,64.13,198.18400000000003,240.31400000000002,0.32,43.41761001455111,2.58492693988024,56.937760009803,37172386.0,23.1730829704372
Vietnam,16.979,11.5,77.2,356.27965474,6.252999999999999,2.6,15498000.0,75.241,64.96600000000001,178.38,1.4321,83.5150494720583,7.2749782978793,308.12524591221296,95540395.0,22.8
Chad,42.683,63.4,27.3,94.95477954,12.309000000000001,1.1337389440030312,87000.0,53.711999999999996,335.375,380.094,0.3637,8.34248327844754,2.4805189443490097,12.2917336404066,15477751.0,11.403565558412357
Costa Rica,14.245999999999999,6.4,83.3,1248.54792795,5.005,1.2,3017000.0,79.914,57.942,107.137,0.7957,97.81836025218608,9.54984767296984,97.91306306306309,4999441.0,11.9
Czechia,10.8,5.4,89.9,2484.63352906,10.5,6.5,10611000.0,79.4756097560976,53.283,108.916,8.4071,99.13409922582059,19.4208768932343,137.602887852888,10625695.0,34.3
